1,2,3,4,5,6,CAUSE,SOLUZIONI
X,X,,,,,"Entrata di aria dalla tubazione di
aspirazione","Verificare lo stato dei raccordi e delle
guarnizioni del tubo di aspirazione"
X,,,,,,"Tenuta insufficiente del coperchio del
filtro","Pulire il coperchio del filtro e verificare
lo stato della guarnizione di gomma"
X,X,,,,,Rotazione invertita del motore,Invertire 2 fasi di alimentazione
X,X,,X,,,Tensione erronea,"Verificare il voltaggio della targhetta
delle caratteristiche e quello della rete"
,X,,,,,Prefiltro intasato,Pulire il filtro
,X,,,,,Perdite di carico nell'installazione,"Evitare il più possibile che gli elementi
generino perdite di carico"
,,X,,,,Fissaggio non corretto della pompa,Fissare correttamente la pompa
,,,,X,,Motore bloccato,"Smontare il motore e rivolgersi al
servizio tecnico"
,,,,,X,"Aumento della temperatura nella
morsettiera a causa di arco elettrico","Verificare i collegamenti della
morsettiera"
,,,,,X,Scatta il termointerruttore,"Effettuare correttamente il
collegamento dei cavi con i terminali
della morsettiera"
,,,,,X,"Collegamenti della morsettiera non
corretti","Stringere correttamente il cavo con
il terminale / adeguare la misura del
collegamento del cavo ai terminali
della morsettiera"
