1,2,3,4,5,6,CAUSAS,SOLUÇÕES
X,X,,,,,"Entrada de ar pela tubagem de
aspiração","Verificar o estado das uniões e das
juntas do tubo de aspiração"
X,,,,,,"Estanquidade deficiente da tampa do
filtro","Limpar a tampa do filtro e verificar o
estado da junta de borracha"
X,X,,,,,Rotação do motor invertida,Inverter 2 fases da alimentação
X,X,,X,,,Tensão incorreta,"Verificar a tensão da placa de
características e a da rede elétrica"
,X,,,,,Pré-filtro obstruído,Limpar o filtro
,X,,,,,Perdas de carga na instalação,"Evitar ao máximo que os elementos
produzam perdas de carga"
,,X,,,,Fixação incorreta da bomba,Fixar corretamente a bomba
,,,,X,,Motor bloqueado,"Desmontar o motor e consultar o
serviço técnico"
,,,,,X,"Aumento da temperatura na caixa de
terminais por ação do arco voltaico","Verificar as ligações da caixa de
terminais"
,,,,,X,O protetor térmico dispara,"Realizar corretamente a ligação dos
cabos aos terminais das caixas de
terminais"
,,,,,X,"Ligações da caixa de terminais mal
efetuadas","Apertar corretamente o cabo no
terminal / Adaptar o tamanho da
ligação do cabo aos terminais da caixa
de terminais"
