1,2,3,4,5,6,CAUSAS,SOLUCIONES
X,X,,,,,"Entrada de aire por la tubería de
aspiración","Comprobar el estado de racores y juntas
del tubo de aspiración"
X,,,,,,"Mala estanqueidad de tapa del
filtro","Limpiar la tapa filtro y comprobar
estado de la junta goma"
X,X,,,,,Giro del motor invertido,Invertir 2 fases de la alimentación
X,X,,X,,,Voltaje erróneo,"Comprobar el voltaje de la placa
característica y el de la red"
,X,,,,,Prefiltro obturado,Limpiar el filtro
,X,,,,,Pérdidas de carga en la instalación,"Evitar al máximo que los elementos
produzcan pérdidas de carga"
,,X,,,,Fijación incorrecta de la bomba,Fijar correctamente la bomba
,,,,X,,Motor bloqueado,"Desmontar el motor y acudir al servicio
técnico"
,,,,,X,"Aumento de la temperatura en la
caja de bornes por efecto de arco
voltaico","Comprobar las conexiones de la caja de
bornes"
,,,,,X,Salta el protector térmico,"Realizar correctamente la conexión de los
cables con los terminales de las cajas de
bornes"
,,,,,X,"Conexiones caja bornes mal
efectuadas","Apretar correctamente el cable con
el terminal / Adecuar el tamaño de la
conexión del cable a los terminales de la
caja de bornes"
