1,2,3,4,5,6,URSACHEN,LÖSUNGEN
X,X,,,,,Lufteintritt über die Saugleitung,"Zustand der Anschlüsse und
Dichtungen der Saugleitung prüfen"
X,,,,,,"Mangelnde Dichtigkeit des
Filterdeckels","Den Filterdeckel reinigen und den
Zustand der Gummidichtung prüfen"
X,X,,,,,Falsche Laufrichtung des Motors,"2 Pole der Netzversorgung
vertauschen"
X,X,,X,,,Falsche Spannung,"Spannungsangaben von Typenschild
und Netz prüfen"
,X,,,,,Der Vorfilter ist verstopft,Den Filter reinigen
,X,,,,,Lastverlust in der Installation,"Möglichst verhindern, dass die
Elemente Lastverlust verursachen"
,,X,,,,"Unsachgemäße Befestigung der
Pumpe",Die Pumpe korrekt befestigen
,,,,X,,Der Motor blockiert,"Den Motor ausbauen und zum
Kundendienst bringen"
,,,,,X,"Temperaturanstieg im
Klemmenkasten aufgrund eines
Spannungsbogens","Die Anschlüsse im Klemmenkasten
prüfen"
,,,,,X,"Der Überhitzungsschutz wird
ausgelöst","Die Anschlüsse der Kabel an die
Klemmen im Klemmenkasten
fachgerecht vornehmen"
,,,,,X,"Die Anschlüsse im Klemmenkasten
sind mangelhaft","Das Kabel mit der Klemme
fest anziehen / Die Größe der
Kabelverbindung an die Klemmen des
Klemmenkastens anpassen"
